"filename", "language", "Batch", "Python", "Properties", "PowerShell", "Markdown", "XML", "comment", "blank", "total"
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\filewrapper.py", "Python", 0, 37, 0, 0, 0, 0, 27, 17, 81
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py", "Python", 0, 69, 0, 0, 0, 0, 32, 35, 136
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py", "Python", 0, 103, 0, 0, 0, 0, 47, 37, 187
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\wrapper.py", "Python", 0, 25, 0, 0, 0, 0, 0, 5, 30
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\certifi\__init__.py", "Python", 0, 2, 0, 0, 0, 0, 0, 2, 4
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\certifi\__main__.py", "Python", 0, 2, 0, 0, 0, 0, 0, 1, 3
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\certifi\core.py", "Python", 0, 6, 0, 0, 0, 0, 8, 7, 21
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\__init__.py", "Python", 0, 13, 0, 0, 0, 0, 22, 5, 40
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\big5freq.py", "Python", 0, 340, 0, 0, 0, 0, 41, 6, 387
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\big5prober.py", "Python", 0, 16, 0, 0, 0, 0, 26, 6, 48
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\chardistribution.py", "Python", 0, 131, 0, 0, 0, 0, 73, 30, 234
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\charsetgroupprober.py", "Python", 0, 72, 0, 0, 0, 0, 26, 9, 107
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\charsetprober.py", "Python", 0, 56, 0, 0, 0, 0, 67, 23, 146
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\cli\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 2, 2
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\cli\chardetect.py", "Python", 0, 43, 0, 0, 0, 0, 32, 11, 86
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\codingstatemachine.py", "Python", 0, 29, 0, 0, 0, 0, 50, 10, 89
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\compat.py", "Python", 0, 11, 0, 0, 0, 0, 20, 4, 35
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\cp949prober.py", "Python", 0, 16, 0, 0, 0, 0, 28, 6, 50
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\enums.py", "Python", 0, 35, 0, 0, 0, 0, 28, 14, 77
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\escprober.py", "Python", 0, 60, 0, 0, 0, 0, 31, 11, 102
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\escsm.py", "Python", 0, 201, 0, 0, 0, 0, 26, 20, 247
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\eucjpprober.py", "Python", 0, 54, 0, 0, 0, 0, 27, 12, 93
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\euckrfreq.py", "Python", 0, 151, 0, 0, 0, 0, 38, 7, 196
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\euckrprober.py", "Python", 0, 16, 0, 0, 0, 0, 26, 6, 48
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\euctwfreq.py", "Python", 0, 340, 0, 0, 0, 0, 41, 7, 388
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\euctwprober.py", "Python", 0, 16, 0, 0, 0, 0, 26, 5, 47
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\gb2312freq.py", "Python", 0, 239, 0, 0, 0, 0, 38, 7, 284
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\gb2312prober.py", "Python", 0, 16, 0, 0, 0, 0, 26, 5, 47
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\hebrewprober.py", "Python", 0, 83, 0, 0, 0, 0, 186, 24, 293
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\chardet\jisfreq.py", "Python", 0, 277, 0, 0, 0, 0, 41, 8, 326
